,user_id,time,gender,age_group,spend_amount
44,1000-0011-4813-FAKE,09/06/2015 17:33,FEMALE,30-34,999
45,1000-0012-0794-FAKE,09/06/2015 20:22,FEMALE,35-39,99
46,1000-0013-1863-FAKE,09/06/2015 16:54,FEMALE,50-64,99
47,1000-0014-9766-FAKE,09/06/2015 07:30,FEMALE,18-24,549
48,1000-0015-3690-FAKE,09/06/2015 12:52,FEMALE,50-64,999
49,1000-0015-5017-FAKE,09/06/2015 10:33,FEMALE,13-17,99
50,1000-0015-6206-FAKE,09/06/2015 20:31,FEMALE,40-49,99
51,1000-0015-7158-FAKE,09/06/2015 17:41,FEMALE,18-24,99
52,1000-0016-4000-FAKE,09/06/2015 07:18,FEMALE,18-24,99
53,1000-0016-8357-FAKE,09/06/2015 22:34,MALE,13-17,99
54,1000-0017-0847-FAKE,09/06/2015 01:43,FEMALE,18-24,399
55,1000-0018-0684-FAKE,09/06/2015 13:35,FEMALE,50-64,399
56,1000-0018-1840-FAKE,09/06/2015 19:20,FEMALE,50-64,399
57,1000-0018-4745-FAKE,09/06/2015 03:01,FEMALE,25-29,99
58,1000-0019-0930-FAKE,09/06/2015 22:43,FEMALE,25-29,299
59,1000-0019-5637-FAKE,09/06/2015 21:03,FEMALE,35-39,999
60,1000-0020-0396-FAKE,09/06/2015 09:14,MALE,18-24,1499
61,1000-0020-4594-FAKE,09/06/2015 07:59,FEMALE,50-64,299
62,1000-0020-4630-FAKE,09/06/2015 10:26,FEMALE,18-24,99
63,1000-0020-4882-FAKE,09/06/2015 18:21,FEMALE,13-17,299
64,1000-0004-1582-FAKE,10/06/2015 06:25,FEMALE,35-39,399
65,1000-0006-0069-FAKE,10/06/2015 10:36,FEMALE,40-49,299
66,1000-0010-0709-FAKE,10/06/2015 17:09,FEMALE,40-49,999
67,1000-0011-3798-FAKE,10/06/2015 08:13,FEMALE,40-49,99
68,1000-0011-4813-FAKE,10/06/2015 07:52,FEMALE,30-34,299
69,1000-0012-0794-FAKE,10/06/2015 01:43,FEMALE,35-39,299
70,1000-0012-5736-FAKE,10/06/2015 12:09,FEMALE,18-24,99
71,1000-0013-3454-FAKE,10/06/2015 06:33,UNKNOWN,UNKNOWN,999
72,1000-0013-5999-FAKE,10/06/2015 08:19,FEMALE,50-64,399
73,1000-0013-6070-FAKE,10/06/2015 02:14,FEMALE,40-49,1999
74,1000-0013-9898-FAKE,10/06/2015 14:41,FEMALE,40-49,399
75,1000-0014-9766-FAKE,10/06/2015 15:04,FEMALE,18-24,299
76,1000-0015-0087-FAKE,10/06/2015 04:14,FEMALE,18-24,99
77,1000-0015-5205-FAKE,10/06/2015 05:20,FEMALE,18-24,549
78,1000-0015-9002-FAKE,10/06/2015 08:54,MALE,35-39,299
79,1000-0016-4000-FAKE,10/06/2015 05:43,FEMALE,18-24,99
80,1000-0016-4715-FAKE,10/06/2015 07:45,FEMALE,18-24,1499
81,1000-0016-8271-FAKE,10/06/2015 17:36,FEMALE,40-49,549
82,1000-0016-9067-FAKE,10/06/2015 09:41,MALE,25-29,549
83,1000-0016-9470-FAKE,10/06/2015 02:44,FEMALE,40-49,299
84,1000-0017-3098-FAKE,10/06/2015 16:36,FEMALE,40-49,299
85,1000-0017-3535-FAKE,10/06/2015 04:14,FEMALE,50-64,299
86,1000-0017-6863-FAKE,10/06/2015 06:04,FEMALE,40-49,299
87,1000-0017-8620-FAKE,10/06/2015 07:57,FEMALE,30-34,999
88,1000-0018-1840-FAKE,10/06/2015 09:56,FEMALE,50-64,99
89,1000-0018-3079-FAKE,10/06/2015 11:23,FEMALE,40-49,99
90,1000-0019-0857-FAKE,10/06/2015 16:40,FEMALE,13-17,999
91,1000-0019-7040-FAKE,10/06/2015 05:55,MALE,25-29,299
92,1000-0000-1226-FAKE,11/06/2015 07:31,FEMALE,40-49,99
93,1000-0001-2117-FAKE,11/06/2015 06:50,FEMALE,35-39,549
94,1000-0002-6057-FAKE,11/06/2015 02:31,FEMALE,40-49,99
95,1000-0003-7611-FAKE,11/06/2015 13:45,FEMALE,50-64,999
96,1000-0005-1227-FAKE,11/06/2015 16:44,FEMALE,35-39,399
97,1000-0005-1651-FAKE,11/06/2015 09:20,FEMALE,25-29,99
98,1000-0006-0069-FAKE,11/06/2015 01:56,FEMALE,40-49,99
99,1000-0007-5324-FAKE,11/06/2015 02:43,MALE,40-49,99
100,1000-0009-4274-FAKE,11/06/2015 05:22,FEMALE,35-39,399
101,1000-0009-7080-FAKE,11/06/2015 15:08,MALE,40-49,299
102,1000-0009-7220-FAKE,11/06/2015 22:54,FEMALE,40-49,99
103,1000-0010-0709-FAKE,11/06/2015 14:52,FEMALE,40-49,99
104,1000-0010-7904-FAKE,11/06/2015 08:42,FEMALE,18-24,999
105,1000-0011-3698-FAKE,11/06/2015 07:06,FEMALE,50-64,549
106,1000-0012-4201-FAKE,11/06/2015 12:57,FEMALE,40-49,549
107,1000-0012-5736-FAKE,11/06/2015 21:13,FEMALE,18-24,549
108,1000-0013-7248-FAKE,11/06/2015 07:53,FEMALE,30-34,299
109,1000-0015-0402-FAKE,11/06/2015 13:19,FEMALE,18-24,1499
110,1000-0015-9002-FAKE,11/06/2015 16:37,MALE,35-39,99
111,1000-0016-1622-FAKE,11/06/2015 15:52,FEMALE,13-17,99
112,1000-0016-3869-FAKE,11/06/2015 06:22,FEMALE,25-29,299
113,1000-0016-6588-FAKE,11/06/2015 09:19,FEMALE,18-24,549
114,1000-0016-7052-FAKE,11/06/2015 14:03,FEMALE,35-39,549
115,1000-0017-3098-FAKE,11/06/2015 13:16,FEMALE,40-49,99
116,1000-0017-8620-FAKE,11/06/2015 03:22,FEMALE,30-34,999
117,1000-0017-8790-FAKE,11/06/2015 10:45,FEMALE,18-24,299
118,1000-0018-0646-FAKE,11/06/2015 05:38,FEMALE,50-64,99
119,1000-0019-1116-FAKE,11/06/2015 00:57,FEMALE,13-17,99
120,1000-0019-5510-FAKE,11/06/2015 12:01,FEMALE,18-24,299
121,1000-0019-7534-FAKE,11/06/2015 09:54,FEMALE,50-64,99
122,1000-0020-4967-FAKE,11/06/2015 15:18,MALE,50-64,299
123,1000-0021-1859-FAKE,11/06/2015 14:13,MALE,40-49,99
124,1000-0002-8778-FAKE,12/06/2015 06:34,FEMALE,50-64,399
125,1000-0007-8775-FAKE,12/06/2015 07:37,FEMALE,18-24,99
126,1000-0008-7767-FAKE,12/06/2015 11:45,FEMALE,30-34,299
127,1000-0008-8492-FAKE,12/06/2015 01:01,FEMALE,35-39,1499
128,1000-0010-7904-FAKE,12/06/2015 12:36,FEMALE,18-24,549
129,1000-0011-0926-FAKE,12/06/2015 07:08,FEMALE,35-39,99
130,1000-0011-7598-FAKE,12/06/2015 04:22,FEMALE,25-29,99
131,1000-0011-7937-FAKE,12/06/2015 12:52,FEMALE,50-64,299
132,1000-0012-0794-FAKE,12/06/2015 02:37,FEMALE,35-39,2499
133,1000-0012-7084-FAKE,12/06/2015 02:21,FEMALE,30-34,1499
134,1000-0013-1863-FAKE,12/06/2015 23:21,FEMALE,50-64,99
135,1000-0013-9998-FAKE,12/06/2015 16:52,FEMALE,50-64,99
136,1000-0015-6182-FAKE,12/06/2015 18:23,FEMALE,30-34,299
137,1000-0016-1622-FAKE,12/06/2015 13:48,FEMALE,13-17,999
138,1000-0016-9470-FAKE,12/06/2015 01:47,FEMALE,40-49,299
139,1000-0017-0847-FAKE,12/06/2015 17:17,FEMALE,18-24,1999
140,1000-0017-3098-FAKE,12/06/2015 03:15,FEMALE,40-49,99
141,1000-0017-6863-FAKE,12/06/2015 04:11,FEMALE,40-49,99
142,1000-0018-3380-FAKE,12/06/2015 07:10,FEMALE,25-29,399
143,1000-0018-5791-FAKE,12/06/2015 22:32,FEMALE,13-17,99
144,1000-0019-0930-FAKE,12/06/2015 05:39,FEMALE,25-29,299
145,1000-0019-7477-FAKE,12/06/2015 01:16,FEMALE,13-17,399
146,1000-0019-8191-FAKE,12/06/2015 05:18,MALE,40-49,999
147,1000-0019-8670-FAKE,12/06/2015 21:37,FEMALE,50-64,99
148,1000-0019-8893-FAKE,12/06/2015 03:23,FEMALE,25-29,549
149,1000-0020-3593-FAKE,12/06/2015 00:12,MALE,18-24,999
150,1000-0020-5611-FAKE,12/06/2015 02:32,FEMALE,18-24,99
151,1000-0020-7885-FAKE,12/06/2015 02:32,MALE,25-29,299
152,1000-0021-1068-FAKE,12/06/2015 07:18,MALE,18-24,299
153,1000-0002-6071-FAKE,13/06/2015 19:36,FEMALE,30-34,999
154,1000-0004-1582-FAKE,13/06/2015 19:53,FEMALE,35-39,99
155,1000-0005-1651-FAKE,13/06/2015 07:06,FEMALE,25-29,999
156,1000-0006-9670-FAKE,13/06/2015 12:49,MALE,25-29,999
157,1000-0007-8143-FAKE,13/06/2015 15:49,FEMALE,40-49,299
158,1000-0007-8775-FAKE,13/06/2015 11:18,FEMALE,18-24,1499
159,1000-0008-1437-FAKE,13/06/2015 19:41,FEMALE,50-64,99
160,1000-0011-0394-FAKE,13/06/2015 06:44,FEMALE,25-29,1499
161,1000-0011-4813-FAKE,13/06/2015 17:09,FEMALE,30-34,99
162,1000-0012-0794-FAKE,13/06/2015 14:05,FEMALE,35-39,99
163,1000-0013-5999-FAKE,13/06/2015 07:02,FEMALE,50-64,299
164,1000-0015-4421-FAKE,13/06/2015 03:12,FEMALE,25-29,99
165,1000-0015-6182-FAKE,13/06/2015 23:22,FEMALE,30-34,4999
166,1000-0016-4715-FAKE,13/06/2015 17:09,FEMALE,18-24,299
167,1000-0017-0847-FAKE,13/06/2015 23:48,FEMALE,18-24,99
168,1000-0017-1100-FAKE,13/06/2015 06:57,FEMALE,40-49,299
169,1000-0017-6612-FAKE,13/06/2015 04:20,FEMALE,25-29,999
170,1000-0018-0684-FAKE,13/06/2015 17:33,FEMALE,50-64,549
171,1000-0018-0952-FAKE,13/06/2015 04:40,FEMALE,18-24,99
172,1000-0018-1852-FAKE,13/06/2015 16:41,FEMALE,25-29,999
173,1000-0018-5823-FAKE,13/06/2015 14:39,FEMALE,18-24,399
174,1000-0018-6617-FAKE,13/06/2015 08:38,MALE,30-34,1499
175,1000-0019-2423-FAKE,13/06/2015 21:35,FEMALE,30-34,99
176,1000-0019-7534-FAKE,13/06/2015 20:08,FEMALE,50-64,99
177,1000-0020-3055-FAKE,13/06/2015 21:49,FEMALE,25-29,299
178,1000-0020-4379-FAKE,13/06/2015 21:16,MALE,25-29,299
179,1000-0021-2830-FAKE,13/06/2015 07:54,FEMALE,50-64,299
180,1000-0001-1483-FAKE,14/06/2015 09:36,FEMALE,18-24,99
181,1000-0004-0493-FAKE,14/06/2015 03:39,FEMALE,40-49,99
182,1000-0005-8533-FAKE,14/06/2015 16:35,FEMALE,18-24,399
183,1000-0007-9713-FAKE,14/06/2015 16:14,FEMALE,35-39,299
184,1000-0008-6689-FAKE,14/06/2015 15:20,FEMALE,35-39,399
185,1000-0009-7080-FAKE,14/06/2015 11:27,MALE,40-49,399
186,1000-0010-4359-FAKE,14/06/2015 09:27,FEMALE,25-29,1999
187,1000-0010-7904-FAKE,14/06/2015 10:39,FEMALE,18-24,549
188,1000-0011-6634-FAKE,14/06/2015 07:11,FEMALE,13-17,99
189,1000-0011-7937-FAKE,14/06/2015 10:11,FEMALE,50-64,1499
190,1000-0011-8975-FAKE,14/06/2015 14:07,FEMALE,50-64,99
191,1000-0013-1863-FAKE,14/06/2015 20:25,FEMALE,50-64,999
192,1000-0013-3454-FAKE,14/06/2015 16:12,UNKNOWN,UNKNOWN,299
193,1000-0013-6070-FAKE,14/06/2015 05:42,FEMALE,40-49,999
194,1000-0013-9898-FAKE,14/06/2015 23:13,FEMALE,40-49,99
195,1000-0014-9766-FAKE,14/06/2015 19:46,FEMALE,18-24,99
196,1000-0015-5017-FAKE,14/06/2015 03:10,FEMALE,13-17,999
197,1000-0016-7762-FAKE,14/06/2015 04:04,FEMALE,18-24,99
198,1000-0017-2375-FAKE,14/06/2015 23:01,MALE,40-49,99
199,1000-0018-0046-FAKE,14/06/2015 05:05,FEMALE,18-24,4999
200,1000-0018-0068-FAKE,14/06/2015 20:15,FEMALE,25-29,999
201,1000-0019-8893-FAKE,14/06/2015 03:37,FEMALE,25-29,1999
202,1000-0020-4882-FAKE,14/06/2015 20:04,FEMALE,13-17,299
203,1000-0021-2479-FAKE,14/06/2015 01:14,FEMALE,25-29,99
204,1000-0000-1226-FAKE,15/06/2015 16:02,FEMALE,40-49,1499
205,1000-0000-6326-FAKE,15/06/2015 22:51,FEMALE,40-49,399
206,1000-0002-1887-FAKE,15/06/2015 19:10,FEMALE,25-29,549
207,1000-0003-5035-FAKE,15/06/2015 05:56,FEMALE,35-39,549
208,1000-0003-7611-FAKE,15/06/2015 21:24,FEMALE,50-64,99
209,1000-0008-8492-FAKE,15/06/2015 11:57,FEMALE,35-39,99
210,1000-0009-7080-FAKE,15/06/2015 15:41,MALE,40-49,99
211,1000-0009-7220-FAKE,15/06/2015 18:44,FEMALE,40-49,999
212,1000-0009-7488-FAKE,15/06/2015 06:08,FEMALE,30-34,999
213,1000-0014-7277-FAKE,15/06/2015 06:49,FEMALE,30-34,99
214,1000-0014-9766-FAKE,15/06/2015 04:10,FEMALE,18-24,4999
215,1000-0015-0669-FAKE,15/06/2015 04:54,MALE,18-24,99
216,1000-0015-3690-FAKE,15/06/2015 22:11,FEMALE,50-64,99
217,1000-0015-4518-FAKE,15/06/2015 18:21,FEMALE,25-29,99
218,1000-0015-7627-FAKE,15/06/2015 10:04,FEMALE,35-39,549
219,1000-0015-8075-FAKE,15/06/2015 02:01,FEMALE,50-64,1999
220,1000-0016-4715-FAKE,15/06/2015 22:34,FEMALE,18-24,99
221,1000-0017-3535-FAKE,15/06/2015 16:49,FEMALE,50-64,1499
222,1000-0017-6612-FAKE,15/06/2015 02:35,FEMALE,25-29,549
223,1000-0018-0867-FAKE,15/06/2015 11:08,FEMALE,40-49,999
224,1000-0018-1034-FAKE,15/06/2015 15:11,MALE,30-34,99
225,1000-0020-3030-FAKE,15/06/2015 21:32,MALE,50-64,99
226,1000-0020-4379-FAKE,15/06/2015 09:24,MALE,25-29,99
227,1000-0021-2830-FAKE,15/06/2015 09:15,FEMALE,50-64,299
228,1000-0002-1887-FAKE,16/06/2015 07:31,FEMALE,25-29,299
229,1000-0003-8902-FAKE,16/06/2015 02:47,FEMALE,40-49,99
230,1000-0004-1582-FAKE,16/06/2015 10:26,FEMALE,35-39,1499
231,1000-0008-1437-FAKE,16/06/2015 04:10,FEMALE,50-64,99
232,1000-0010-7904-FAKE,16/06/2015 04:42,FEMALE,18-24,299
233,1000-0011-8958-FAKE,16/06/2015 12:10,FEMALE,35-39,399
234,1000-0011-8975-FAKE,16/06/2015 11:50,FEMALE,50-64,99
235,1000-0012-5736-FAKE,16/06/2015 02:26,FEMALE,18-24,399
236,1000-0012-7084-FAKE,16/06/2015 05:46,FEMALE,30-34,549
237,1000-0013-6007-FAKE,16/06/2015 01:11,FEMALE,25-29,1499
238,1000-0013-7248-FAKE,16/06/2015 03:13,FEMALE,30-34,399
239,1000-0014-3574-FAKE,16/06/2015 02:07,FEMALE,40-49,299
240,1000-0014-9766-FAKE,16/06/2015 08:30,FEMALE,18-24,99
241,1000-0015-4518-FAKE,16/06/2015 06:32,FEMALE,25-29,299
242,1000-0015-5017-FAKE,16/06/2015 02:08,FEMALE,13-17,299
243,1000-0015-5205-FAKE,16/06/2015 08:27,FEMALE,18-24,999
244,1000-0015-8075-FAKE,16/06/2015 07:23,FEMALE,50-64,299
245,1000-0015-9002-FAKE,16/06/2015 05:59,MALE,35-39,99
246,1000-0016-7052-FAKE,16/06/2015 05:04,FEMALE,35-39,299
247,1000-0017-6863-FAKE,16/06/2015 09:47,FEMALE,40-49,999
248,1000-0018-0867-FAKE,16/06/2015 05:42,FEMALE,40-49,299
249,1000-0018-1871-FAKE,16/06/2015 03:32,FEMALE,25-29,99
250,1000-0018-3079-FAKE,16/06/2015 02:08,FEMALE,40-49,99
251,1000-0019-0857-FAKE,16/06/2015 07:50,FEMALE,13-17,299
252,1000-0019-0930-FAKE,16/06/2015 11:50,FEMALE,25-29,399
253,1000-0019-5637-FAKE,16/06/2015 03:58,FEMALE,35-39,1499
254,1000-0020-7467-FAKE,16/06/2015 01:23,FEMALE,40-49,99
255,1000-0020-7885-FAKE,16/06/2015 07:55,MALE,25-29,399
256,1000-0020-9994-FAKE,16/06/2015 06:08,FEMALE,50-64,399
257,1000-0002-8778-FAKE,16/06/2015 19:13,FEMALE,50-64,299
258,1000-0008-2205-FAKE,16/06/2015 15:02,FEMALE,35-39,399
259,1000-0012-0211-FAKE,16/06/2015 19:51,FEMALE,30-34,299
260,1000-0017-2375-FAKE,16/06/2015 21:58,MALE,40-49,399
261,1000-0018-7673-FAKE,16/06/2015 14:50,FEMALE,50-64,1499
262,1000-0020-4967-FAKE,16/06/2015 21:25,MALE,50-64,299
263,1000-0021-4185-FAKE,16/06/2015 21:15,FEMALE,25-29,99
264,1000-0003-5035-FAKE,17/06/2015 19:35,FEMALE,35-39,299
265,1000-0003-7611-FAKE,17/06/2015 13:57,FEMALE,50-64,999
266,1000-0004-1582-FAKE,17/06/2015 01:09,FEMALE,35-39,299
267,1000-0005-1651-FAKE,17/06/2015 10:05,FEMALE,25-29,99
268,1000-0005-7541-FAKE,17/06/2015 08:01,FEMALE,13-17,299
269,1000-0006-1638-FAKE,17/06/2015 00:57,FEMALE,25-29,399
270,1000-0006-7642-FAKE,17/06/2015 13:49,FEMALE,25-29,99
271,1000-0006-9939-FAKE,17/06/2015 07:30,FEMALE,25-29,999
272,1000-0007-7962-FAKE,17/06/2015 03:09,MALE,18-24,299
273,1000-0007-8143-FAKE,17/06/2015 15:43,FEMALE,40-49,299
274,1000-0007-8775-FAKE,17/06/2015 09:43,FEMALE,18-24,299
275,1000-0008-1950-FAKE,17/06/2015 07:10,FEMALE,30-34,99
276,1000-0008-7767-FAKE,17/06/2015 15:57,FEMALE,30-34,99
277,1000-0009-7488-FAKE,17/06/2015 17:15,FEMALE,30-34,549
278,1000-0011-0394-FAKE,17/06/2015 03:35,FEMALE,25-29,99
279,1000-0011-7598-FAKE,17/06/2015 06:05,FEMALE,25-29,549
280,1000-0012-7084-FAKE,17/06/2015 10:27,FEMALE,30-34,999
281,1000-0013-5808-FAKE,17/06/2015 15:31,FEMALE,35-39,549
282,1000-0013-5999-FAKE,17/06/2015 07:44,FEMALE,50-64,399
283,1000-0014-3574-FAKE,17/06/2015 10:07,FEMALE,40-49,299
284,1000-0015-0087-FAKE,17/06/2015 06:56,FEMALE,18-24,99
285,1000-0015-6206-FAKE,17/06/2015 02:45,FEMALE,40-49,299
286,1000-0015-7627-FAKE,17/06/2015 16:50,FEMALE,35-39,99
287,1000-0016-1622-FAKE,17/06/2015 04:34,FEMALE,13-17,299
288,1000-0016-3869-FAKE,17/06/2015 10:11,FEMALE,25-29,299
289,1000-0016-4255-FAKE,17/06/2015 00:09,MALE,18-24,549
290,1000-0016-4255-FAKE,17/06/2015 03:28,MALE,18-24,549
291,1000-0016-7894-FAKE,17/06/2015 09:50,FEMALE,40-49,99
292,1000-0016-9067-FAKE,17/06/2015 09:18,MALE,25-29,4999
293,1000-0017-3535-FAKE,17/06/2015 22:02,FEMALE,50-64,299
294,1000-0017-8620-FAKE,17/06/2015 12:34,FEMALE,30-34,99
295,1000-0018-7688-FAKE,17/06/2015 06:44,MALE,50-64,299
296,1000-0019-0656-FAKE,17/06/2015 13:09,FEMALE,13-17,99
297,1000-0019-0857-FAKE,17/06/2015 21:00,FEMALE,13-17,299
298,1000-0019-2908-FAKE,17/06/2015 06:45,FEMALE,40-49,1499
299,1000-0019-5637-FAKE,17/06/2015 08:09,FEMALE,35-39,99
300,1000-0019-6074-FAKE,17/06/2015 14:11,FEMALE,25-29,1999
301,1000-0019-7534-FAKE,17/06/2015 10:34,FEMALE,50-64,2999
302,1000-0020-4127-FAKE,17/06/2015 01:47,FEMALE,25-29,99
303,1000-0020-4379-FAKE,17/06/2015 13:05,MALE,25-29,99
304,1000-0021-3171-FAKE,17/06/2015 01:43,MALE,18-24,299
305,1000-0021-5041-FAKE,17/06/2015 04:21,FEMALE,18-24,1999
306,1000-0003-7611-FAKE,18/06/2015 22:45,FEMALE,50-64,99
307,1000-0004-0493-FAKE,18/06/2015 03:20,FEMALE,40-49,99
308,1000-0005-1227-FAKE,18/06/2015 02:14,FEMALE,35-39,99
309,1000-0005-1651-FAKE,18/06/2015 23:45,FEMALE,25-29,299
310,1000-0005-3383-FAKE,18/06/2015 03:08,MALE,40-49,299
311,1000-0005-7541-FAKE,18/06/2015 22:06,FEMALE,13-17,1999
312,1000-0005-8533-FAKE,18/06/2015 18:50,FEMALE,18-24,299
313,1000-0008-0509-FAKE,18/06/2015 16:19,FEMALE,30-34,99
314,1000-0008-4338-FAKE,18/06/2015 10:02,FEMALE,30-34,299
315,1000-0010-4359-FAKE,18/06/2015 17:02,FEMALE,25-29,99
316,1000-0011-6634-FAKE,18/06/2015 21:46,FEMALE,13-17,299
317,1000-0012-0189-FAKE,18/06/2015 03:57,FEMALE,25-29,299
318,1000-0013-1863-FAKE,18/06/2015 07:41,FEMALE,50-64,99
319,1000-0014-3574-FAKE,18/06/2015 13:14,FEMALE,40-49,999
320,1000-0014-7277-FAKE,18/06/2015 11:35,FEMALE,30-34,99
321,1000-0014-9766-FAKE,18/06/2015 17:09,FEMALE,18-24,399
322,1000-0015-0087-FAKE,18/06/2015 10:15,FEMALE,18-24,99
323,1000-0015-5205-FAKE,18/06/2015 00:57,FEMALE,18-24,399
324,1000-0015-8783-FAKE,18/06/2015 11:06,FEMALE,50-64,299
325,1000-0016-4255-FAKE,18/06/2015 20:00,MALE,18-24,299
326,1000-0016-5701-FAKE,18/06/2015 02:19,FEMALE,13-17,99
327,1000-0017-1829-FAKE,18/06/2015 02:43,FEMALE,18-24,399
328,1000-0017-3098-FAKE,18/06/2015 07:10,FEMALE,40-49,99
329,1000-0017-4400-FAKE,18/06/2015 17:51,FEMALE,18-24,99
330,1000-0017-6863-FAKE,18/06/2015 13:34,FEMALE,40-49,999
331,1000-0018-0046-FAKE,18/06/2015 05:33,FEMALE,18-24,99
332,1000-0018-0952-FAKE,18/06/2015 01:44,FEMALE,18-24,99
333,1000-0018-1840-FAKE,18/06/2015 01:47,FEMALE,50-64,99
334,1000-0018-1871-FAKE,18/06/2015 02:47,FEMALE,25-29,299
335,1000-0018-3380-FAKE,18/06/2015 10:33,FEMALE,25-29,99
336,1000-0019-0857-FAKE,18/06/2015 07:37,FEMALE,13-17,299
337,1000-0019-1116-FAKE,18/06/2015 02:39,FEMALE,13-17,99
338,1000-0019-5510-FAKE,18/06/2015 22:44,FEMALE,18-24,999
339,1000-0019-6074-FAKE,18/06/2015 04:25,FEMALE,25-29,299
340,1000-0019-7534-FAKE,18/06/2015 02:10,FEMALE,50-64,549
341,1000-0020-4615-FAKE,18/06/2015 01:35,MALE,25-29,2999
342,1000-0020-9921-FAKE,18/06/2015 12:40,MALE,25-29,2999
343,1000-0021-4185-FAKE,18/06/2015 13:14,FEMALE,25-29,549
344,1000-0021-5897-FAKE,18/06/2015 02:53,UNKNOWN,UNKNOWN,4999
345,1000-0000-1226-FAKE,19/06/2015 18:22,FEMALE,40-49,99
346,1000-0000-8219-FAKE,19/06/2015 04:36,FEMALE,50-64,299
347,1000-0003-7611-FAKE,19/06/2015 16:53,FEMALE,50-64,299
348,1000-0004-1582-FAKE,19/06/2015 11:07,FEMALE,35-39,299
349,1000-0005-1651-FAKE,19/06/2015 13:27,FEMALE,25-29,299
350,1000-0007-7962-FAKE,19/06/2015 10:54,MALE,18-24,299
351,1000-0007-8143-FAKE,19/06/2015 09:07,FEMALE,40-49,399
352,1000-0008-1950-FAKE,19/06/2015 21:32,FEMALE,30-34,299
353,1000-0008-6689-FAKE,19/06/2015 16:32,FEMALE,35-39,399
354,1000-0009-7488-FAKE,19/06/2015 17:32,FEMALE,30-34,299
355,1000-0011-0394-FAKE,19/06/2015 03:13,FEMALE,25-29,99
356,1000-0011-7937-FAKE,19/06/2015 02:47,FEMALE,50-64,99
357,1000-0012-0189-FAKE,19/06/2015 23:06,FEMALE,25-29,999
358,1000-0012-4201-FAKE,19/06/2015 04:28,FEMALE,40-49,999
